Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-31,35.695974723,34.371829803,28.937734782,36.73886074,15.722311814,19.603976859,24.369431128,27.264842433,30.997043412,30.720916872,26.817045305,32.095896956,25.67041014,32.57965933,33.076345807,33.513139945,31.480366806,33.00799731,27.920008929,26.751813971,15.901879543,24.494763674,25.43263206,42.375815723,30.617692832,26.921525473,31.198276709,27.712313006,22.134156,22.94432926,27.836166708,23.810186325,28.373827452,40.078876432,30.358579094,38.1016437,19.699757964,28.762925664,20.133812616,31.459784057,37.722209824,32.179632701,32.602350151,24.698474255,26.63761959,27.912639739,17.48431527,41.002072457,28.096763977,31.66879358
1975-02-28,35.896769778,34.880945462,29.463708193,37.098961904,15.775201613,19.837138343,24.908036411,27.250734258,32.229049454,30.450593471,26.751574458,32.063926769,25.766822984,33.020175691,33.548651747,33.8500479,31.543031048,33.612264784,27.738078236,26.737931669,15.800138819,24.851442476,25.676146604,42.039535064,32.021014365,27.236073605,31.180380816,28.180163874,22.467159876,22.425192361,28.223971809,23.33559454,28.655500829,39.974166273,30.400773515,38.028076317,20.18393839,29.073526615,20.552127803,31.721399509,37.319634299,32.218599242,32.944115833,25.060976832,26.956271263,28.205810288,17.571053313,42.040473078,28.486170374,32.161920377
1975-03-31,36.133517682,35.402216588,29.959514359,37.416398386,15.964942082,20.073483093,25.313556351,27.268477533,34.027506289,30.338265223,26.732837423,32.027469377,25.969181003,33.436418666,33.974287629,34.232607654,31.593040679,34.222287903,27.595604906,26.741920121,15.698374791,25.137942769,25.886698285,41.777541368,33.446563388,27.570803745,31.159134814,28.63124413,22.768964776,22.117108062,28.591384018,23.121022763,28.896912003,39.920062389,30.560154549,37.994144539,20.643732787,29.321174718,20.972499722,31.881981334,36.908861013,32.296538578,33.542974868,25.381341429,27.264730994,28.420407071,17.689717252,43.122486405,28.860736994,32.680524985
1975-04-30,36.425723414,35.944702721,30.34514778,37.677813364,16.275546901,20.301863643,25.541141411,27.362673191,36.218076788,30.401314336,26.783169279,32.002468895,26.232112088,33.755308035,34.299393415,34.647212965,31.681480906,34.686619384,27.520195909,26.806110594,15.618190215,25.30717194,26.088927225,41.646001718,34.613444117,27.915478793,31.139334161,29.048366605,23.015142929,22.088628885,28.882585175,23.125051591,29.107789661,39.985445312,30.783996208,37.952016805,21.061995682,29.520746095,21.391419151,31.928367914,36.498238083,32.41638549,34.40282627,25.62719987,27.546567879,28.578762285,17.818792074,44.239196403,29.185047937,33.210124158
1975-05-31,36.695708208,36.535272046,30.546449033,37.92109863,16.533016743,20.495074789,25.614055606,27.561892764,36.437855081,30.511354578,26.896170981,32.01371386,26.39611528,33.926711054,34.490832721,35.056795037,31.905577074,34.911722031,27.539480816,26.936053612,15.583616366,25.348729379,26.338375615,41.661288277,34.579646808,28.235973409,31.118300396,29.41739716,23.185844006,22.2544224,29.091131813,23.260109317,29.291586272,40.188733735,31.027006482,37.890500708,21.466085246,29.766186248,21.792119163,31.934237421,36.121328137,32.563209466,34.649754848,25.782333842,27.794738399,28.71761074,17.933276937,45.363221845,29.443523214,33.714128189
1975-06-30,36.823712991,37.165796702,30.496614186,38.15964045,16.646798535,20.657610414,25.593714897,27.817379163,34.782270581,30.543939733,27.037285624,32.049100834,26.487959188,33.932969725,34.603521535,35.367593227,32.303844707,35.00532272,27.679394819,27.102018235,15.607480596,25.290362932,26.636629322,41.789513129,33.497736548,28.510412274,31.093245398,29.727429362,23.26847711,22.505714891,29.267728378,23.51474685,29.434215716,40.517929111,31.283067806,37.855987809,21.868707758,30.05517268,22.128426585,31.988888248,35.832126452,32.73209072,34.214011605,25.82078748,28.015188152,28.859131767,18.060594751,46.434890637,29.643095787,34.179561018
1975-07-31,36.747060385,37.795450362,30.17382177,38.351084099,16.768339648,20.767493316,25.56214061,28.054118864,33.559445665,30.441558597,27.163317184,32.09382486,26.619776585,33.782462423,34.724695039,35.561566619,32.763361151,35.144502996,27.932315444,27.305306508,15.680040942,25.250630801,26.977165584,41.880096432,32.516269267,28.739476348,31.071899519,29.990926524,23.268471787,22.785014262,29.433310531,23.784659561,29.548824488,40.970422436,31.49105038,37.888268124,22.226500937,30.250528161,22.371569897,32.118334693,35.638746349,32.9122539,33.926083997,25.749555236,28.197133103,29.053840284,18.2048599,47.374534041,29.808952667,34.61114124
1975-08-31,36.511772961,38.369702254,29.662525226,38.450072559,16.989530388,20.766266666,25.561579576,28.260091406,33.00350113,30.197666333,27.246210649,32.149297213,26.745430325,33.521237965,34.846570946,35.731473097,33.125534411,35.366327336,28.25821137,27.520428504,15.758797038,25.342422371,27.312007585,41.833966415,31.944417563,28.925039969,31.098158566,30.247397185,23.229385594,22.97600275,29.553079597,23.906977657,29.69571374,41.530759439,31.581239338,38.006119356,22.493264881,30.161321814,22.541198987,32.277521131,35.492686371,33.099345022,33.892529981,25.652101941,28.318131429,29.24575544,18.291956813,48.12327577,29.96561359,34.997926948
1975-09-30,36.255135944,38.870586488,29.128418941,38.428009692,17.230748861,20.693246825,25.603379201,28.435083169,32.874239066,29.856040783,27.296548361,32.230599211,26.855966195,33.26506899,34.919732595,35.841481307,33.341101159,35.595870465,28.595684542,27.67188419,15.820497066,25.404160086,27.542703346,41.72887097,31.627502359,29.076968944,31.222127792,30.518783189,23.222100396,23.020330907,29.59572924,23.911982872,29.864526172,42.163692005,31.630493633,38.212819161,22.664359241,29.707755048,22.654787893,32.386643205,35.369164269,33.33238478,33.975850182,25.631074348,28.381089568,29.299722542,18.295879078,48.624442452,30.169331906,35.324391768
1975-10-31,36.139293676,39.326955427,28.828752722,38.355340957,17.447895923,20.677437164,25.692004351,28.555244167,32.987684509,29.578801316,27.328929828,32.416315995,27.008931879,33.227733,34.997369221,35.874514082,33.438989042,35.806148803,28.858179454,27.810144599,15.852632962,25.29577205,27.602064611,41.677595793,31.397506069,29.218921648,31.457424453,30.794840526,23.282558976,22.972302127,29.587167547,23.918210273,30.017324639,42.803706491,31.743341858,38.529040995,22.765773382,29.156678626,22.707174773,32.3815801,35.284393144,33.673100809,34.088819195,25.802722031,28.404310983,29.241359755,18.311491125,48.844943629,30.400019465,35.564002224
1975-11-30,36.24746352,39.737258678,28.941163935,38.377786598,17.596355017,20.813599037,25.869719737,28.633599842,33.226949904,29.492202047,27.33306429,32.758005406,27.245907089,33.470664755,35.122386858,35.956888985,33.429987698,36.035447604,28.986727226,28.05940145,15.866951618,25.177174715,27.524664741,41.766684446,31.307769869,29.380330289,31.769555563,31.071003618,23.409108406,22.885277327,29.576404333,23.948865012,30.156814933,43.395164612,31.917400922,38.936775881,22.829692261,29.298625913,22.712323108,32.267106152,35.26156481,34.120824465,34.297687559,26.178200854,28.399730773,29.147034104,18.445463435,48.851988022,30.55375111,35.71994834
1975-12-31,36.592162132,40.082873599,29.318045571,38.535310001,17.725346207,21.044354965,26.106415566,28.693509707,33.389482547,29.544696407,27.308179274,33.198002374,27.594521756,33.828813912,35.300740697,36.126703852,33.375192146,36.328756427,28.981245385,28.367860758,15.886992787,25.167472131,27.403697571,42.028059204,31.45917431,29.60048624,32.147435759,31.338863467,23.604773072,22.837382052,29.58653039,23.941393961,30.242235813,43.927866363,32.003775071,39.345477266,22.909408007,30.133250234,22.691539224,32.104860567,35.324867433,34.520063475,34.495963882,26.596479491,28.372970508,29.043641805,18.666299721,48.756207247,30.611018585,35.823017545
1976-01-31,37.138285042,40.363154019,29.704142844,38.782621993,17.908763968,21.26111356,26.322159486,28.724851717,33.380928141,29.63129204,27.287797795,33.622852742,27.958843436,34.159901806,35.615653008,36.350954853,33.351664744,36.64626059,28.888573211,28.620647063,15.902696399,25.21108661,27.303501331,42.362924585,31.88707465,29.891137494,32.613829645,31.581892018,23.863150205,22.890931366,29.638069679,23.827446025,30.21886905,44.409882472,31.994153249,39.671515039,23.026415135,30.856119842,22.67871894,31.923492405,35.492002789,34.699256053,34.624718421,26.970217867,28.327241888,28.966076172,18.891871592,48.641612148,30.625869626,35.909297336
1976-02-29,37.756436852,40.596136431,29.996550079,39.126082717,18.117586565,21.44125558,26.475488226,28.728539635,33.404364816,29.652624708,27.290183076,33.940528574,28.240352156,34.430613825,36.07871336,36.597674216,33.355532512,36.952332693,28.777775776,28.796600261,15.937703553,25.266468622,27.273907773,42.605036025,32.6830378,30.233365589,33.123086459,31.772307189,24.133601991,23.018714039,29.74779466,23.635562598,30.087749294,44.826792715,32.078063429,39.962043142,23.17959539,31.26856039,22.732460801,31.74104321,35.767902701,34.658688907,34.927335978,27.3141361,28.27202453,29.01261315,19.118605851,48.590974629,30.629882007,36.027093099
1976-03-31,38.276319431,40.805884913,30.171495223,39.571309681,18.379530404,21.622060638,26.567975912,28.738149331,33.940909515,29.613906224,27.289832356,34.125590496,28.480858508,34.655507722,36.626719337,36.860253015,33.40398967,37.272219673,28.684292128,28.943498237,16.010694689,25.400493675,27.333277147,42.632079713,33.885701151,30.612502755,33.593164378,31.888987865,24.344571258,23.190884876,29.90516165,23.456475477,29.98523874,45.175587567,32.358887095,40.260185479,23.407574603,31.454897475,22.875309634,31.632556255,36.123462424,34.55766539,35.656680511,27.609005144,28.237516429,29.197571413,19.333060688,48.632972366,30.663395773,36.205274316
1976-04-30,38.596134722,41.002975377,30.239323138,40.057998589,18.673066637,21.794533322,26.63844829,28.804320394,35.152677843,29.645420434,27.277349441,34.221803947,28.756280455,34.894658899,37.205280666,37.145399877,33.536135824,37.628357648,28.591108214,29.100142116,16.080945759,25.575379161,27.448589216,42.435546899,35.177339275,30.983215495,33.989642516,31.951524927,24.477485448,23.429926469,30.105652978,23.362002902,30.005639843,45.499200864,32.795433009,40.532182849,23.703381457,31.520821479,23.085268662,31.712710674,36.502660897,34.569332825,36.676904034,27.858088374,28.268886547,29.426252496,19.527588495,48.709444088,30.78878882,36.448180704
1976-05-31,38.740517151,41.187714945,30.235995638,40.468692863,18.899994597,21.916108558,26.726319599,28.901930982,35.469750103,29.843174555,27.270399149,34.311954302,29.161095887,35.193107822,37.758880214,37.431598675,33.762313272,37.945844864,28.451856139,29.279091382,16.104286919,25.686490682,27.573101578,42.126797061,35.349175806,31.295943604,34.240921703,31.992309459,24.563117374,23.730678973,30.348505173,23.39039168,30.099304764,45.847037185,33.235392093,40.795317151,24.06250155,31.645910796,23.332898818,32.015741482,36.868201123,34.65448302,36.983258946,28.052346993,28.382875654,29.670671138,19.751451852,48.757705896,31.001630637,36.776850464
1976-06-30,38.797231104,41.362366775,30.205174089,40.762885756,19.131690076,21.99010081,26.872599494,28.960601544,34.602640151,30.24409759,27.311051745,34.413173818,29.668817956,35.478380784,38.1876807,37.682427088,34.061944887,38.114464356,28.24144199,29.505693809,16.13944001,25.785543759,27.735812438,41.857503365,34.502990964,31.522762811,34.307975363,32.047213533,24.637764736,23.991568984,30.613933231,23.551956872,30.251182332,46.229268471,33.53021522,41.130176543,24.499038216,31.922150326,23.578199781,32.424279396,37.204915965,34.671961928,36.591100652,28.167645866,28.570713777,29.883049043,20.056069973,48.750043909,31.193880531,37.232641563
1976-07-31,38.856954979,41.521684864,30.199230938,41.01857573,19.429193911,22.016766605,27.077421971,28.97065453,34.002096577,30.693744884,27.458879855,34.453603996,30.023295803,35.652774153,38.490567035,37.843012336,34.353612187,38.215836653,27.996836453,29.776678315,16.27181499,25.897987958,28.014044935,41.718034185,33.795269797,31.670777638,34.28125953,32.109489769,24.717069891,24.147277982,30.882149096,23.739749317,30.434168671,46.626995228,33.744981561,41.521449545,24.961176709,32.110543701,23.783072454,32.784407046,37.53308285,34.661584756,36.396802681,28.286503043,28.815405931,30.025205878,20.447975075,48.684754586,31.333897473,37.805034655
1976-08-31,38.918701217,41.662983399,30.238988029,41.303581038,19.725256143,22.004560528,27.23623336,28.954170612,33.893908801,30.930347583,27.701748622,34.448293199,30.158784132,35.699549397,38.778163917,37.924777094,34.603203857,38.40194501,27.763758866,30.021114778,16.451069131,25.995836913,28.314954421,41.691357899,33.39771326,31.77892686,34.267263619,32.153642461,24.802058528,24.193751446,31.12680237,23.787024901,30.576147214,47.034218802,33.946790064,41.902661295,25.392062233,31.913189613,23.943501376,33.041872799,37.861521784,34.715717373,36.393827699,28.440028811,29.086215929,30.188124417,20.796144469,48.59650828,31.492694607,38.417253446
1976-09-30,38.958367525,41.845067036,30.305538056,41.558710518,20.001803058,22.018000143,27.294271267,28.937931455,34.010770031,30.981477477,27.954400484,34.517501209,30.200573488,35.696103331,39.12580826,38.031660436,34.808838605,38.67343994,27.595117053,30.136641772,16.593813494,26.098046725,28.520075309,41.763801807,33.308842011,31.875143774,34.322828944,32.170155841,24.890642212,24.106119258,31.362187574,23.696807293,30.669726291,47.486132004,34.106503724,42.235856626,25.780061118,31.352228671,24.069535133,33.203147828,38.135806772,34.820331296,36.488809375,28.561117723,29.347313296,30.353001523,20.994394256,48.535678548,31.692006891,39.032822347
1976-10-31,39.018757584,42.124701152,30.458041605,41.720392526,20.29734733,22.153648014,27.346562154,28.964190175,34.129381528,30.941421723,28.133615873,34.748018651,30.272496826,35.74218664,39.518630174,38.274899249,34.932866216,39.010768046,27.557747494,30.136075088,16.684472638,26.208452111,28.677757662,41.942706134,33.404370868,32.004747025,34.484384723,32.195085366,24.99828109,23.908898814,31.645444546,23.636117678,30.793766744,48.022787218,34.1721326,42.501035364,26.15595874,30.987869196,24.18153214,33.296503577,38.287886845,34.939022023,36.70765949,28.677328871,29.571743354,30.464587037,21.1207447,48.520560626,31.897835181,39.656983076
